temperature,city,pression,date
278.42,London,1030,1674729670
271.5,Washington,1036,1674729670
274.95,Paris,1025,1674729426
278.42,London,1030,1674729426
271.5,Washington,1036,1674729426
274.95,Paris,1025,1674729334
278.25,London,1030,1674729334
271.31,Washington,1036,1674729334
274.95,Paris,1025,1674729300
278.25,London,1030,1674729300
271.31,Washington,1036,1674729300
274.95,Paris,1025,1674729225
278.25,London,1030,1674729225
271.31,Washington,1036,1674729225
274.06,Paris,1024,1674723651
277.38,London,1029,1674723651
271.0,Washington,1036,1674723651
274.06,Paris,1024,1674723647
277.38,London,1029,1674723647
271.0,Washington,1036,1674723647
274.06,Paris,1024,1674723644
277.38,London,1029,1674723644
271.0,Washington,1036,1674723644
274.06,Paris,1024,1674723637
277.38,London,1029,1674723637
271.0,Washington,1036,1674723637
274.06,Paris,1024,1674723626
277.38,London,1029,1674723626
271.0,Washington,1036,1674723626
274.06,Paris,1024,1674723597
277.38,London,1029,1674723597
271.0,Washington,1036,1674723597
274.06,Paris,1024,1674723577
277.38,London,1029,1674723577
271.0,Washington,1036,1674723577
274.06,Paris,1024,1674723570
277.38,London,1029,1674723570
271.0,Washington,1036,1674723570
274.06,Paris,1024,1674723567
277.38,London,1029,1674723567
271.0,Washington,1036,1674723567
274.06,Paris,1024,1674723544
277.38,London,1029,1674723544
271.0,Washington,1036,1674723544
274.06,Paris,1024,1674723516
277.38,London,1029,1674723516
271.0,Washington,1036,1674723516
274.06,Paris,1024,1674723514
277.38,London,1029,1674723514
271.0,Washington,1036,1674723514
274.06,Paris,1024,1674723499
277.38,London,1029,1674723499
271.0,Washington,1036,1674723499
274.06,Paris,1024,1674723374
277.38,London,1029,1674723374
271.0,Washington,1036,1674723374
274.06,Paris,1024,1674723362
277.38,London,1029,1674723362
271.0,Washington,1036,1674723362
274.06,Paris,1024,1674723350
277.38,London,1029,1674723350
270.9,Washington,1036,1674723350
274.06,Paris,1024,1674723345
277.34,London,1029,1674723345
270.9,Washington,1036,1674723345
274.06,Paris,1024,1674723343
277.34,London,1029,1674723343
270.9,Washington,1036,1674723343
274.04,Paris,1024,1674722976
277.34,London,1029,1674722976
270.9,Washington,1036,1674722976
274.04,Paris,1024,1674722930
277.34,London,1029,1674722930
270.9,Washington,1036,1674722930
274.04,Paris,1024,1674722794
277.34,London,1029,1674722794
270.9,Washington,1036,1674722794
274.04,Paris,1024,1674722750
277.34,London,1029,1674722750
270.9,Washington,1036,1674722750
274.04,Paris,1024,1674722682
277.33,London,1029,1674722682
270.9,Washington,1036,1674722682
274.04,Paris,1024,1674722643
277.33,London,1029,1674722643
270.9,Washington,1036,1674722643
274.04,Paris,1024,1674722586
277.33,London,1029,1674722586
270.9,Washington,1036,1674722586
274.0,Paris,1024,1674722330
277.33,London,1029,1674722330
270.9,Washington,1036,1674722330
274.0,Paris,1024,1674722299
277.33,London,1029,1674722299
270.9,Washington,1036,1674722299
274.0,Paris,1024,1674722235
277.33,London,1029,1674722235
270.9,Washington,1036,1674722235
274.0,Paris,1024,1674722203
277.33,London,1029,1674722203
270.9,Washington,1036,1674722203
274.0,Paris,1024,1674722123
277.33,London,1029,1674722123
270.9,Washington,1036,1674722123
274.0,Paris,1024,1674722069
277.32,London,1029,1674722069
270.91,Washington,1036,1674722069
274.0,Paris,1024,1674722031
277.32,London,1029,1674722031
270.91,Washington,1036,1674722031
274.0,Paris,1024,1674722013
277.32,London,1029,1674722013
270.91,Washington,1036,1674722013
